killsplayer_1,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,killsplayer_10,deathsplayer_1,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,assistsplayer_2,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,assistsplayer_10,dragon_team100,dragon_team200,riftherald_team100,riftherald_team300,winningTeam,ward_player_1,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,ward_player_10,towers_lost_team100,towers_lost_team200,currentGold_1,magicDamageDoneToChampions_1,physicalDamageDoneToChampions_1,trueDamageDoneToChampions_1,totalDamageDoneToChampions_1,goldPerSecond_1,jungleMinionsKilled_1,level_1,minionsKilled_1,timeEnemySpentControlled_1,totalGold_1,xp_1,currentGold_2,magicDamageDoneToChampions_2,physicalDamageDoneToChampions_2,trueDamageDoneToChampions_2,totalDamageDoneToChampions_2,goldPerSecond_2,jungleMinionsKilled_2,level_2,minionsKilled_2,timeEnemySpentControlled_2,totalGold_2,xp_2,currentGold_3,magicDamageDoneToChampions_3,physicalDamageDoneToChampions_3,trueDamageDoneToChampions_3,totalDamageDoneToChampions_3,goldPerSecond_3,jungleMinionsKilled_3,level_3,minionsKilled_3,timeEnemySpentControlled_3,totalGold_3,xp_3,currentGold_4,magicDamageDoneToChampions_4,physicalDamageDoneToChampions_4,trueDamageDoneToChampions_4,totalDamageDoneToChampions_4,goldPerSecond_4,jungleMinionsKilled_4,level_4,minionsKilled_4,timeEnemySpentControlled_4,totalGold_4,xp_4,currentGold_5,magicDamageDoneToChampions_5,physicalDamageDoneToChampions_5,trueDamageDoneToChampions_5,totalDamageDoneToChampions_5,goldPerSecond_5,jungleMinionsKilled_5,level_5,minionsKilled_5,timeEnemySpentControlled_5,totalGold_5,xp_5,currentGold_6,magicDamageDoneToChampions_6,physicalDamageDoneToChampions_6,trueDamageDoneToChampions_6,totalDamageDoneToChampions_6,goldPerSecond_6,jungleMinionsKilled_6,level_6,minionsKilled_6,timeEnemySpentControlled_6,totalGold_6,xp_6,currentGold_7,magicDamageDoneToChampions_7,physicalDamageDoneToChampions_7,trueDamageDoneToChampions_7,totalDamageDoneToChampions_7,goldPerSecond_7,jungleMinionsKilled_7,level_7,minionsKilled_7,timeEnemySpentControlled_7,totalGold_7,xp_7,currentGold_8,magicDamageDoneToChampions_8,physicalDamageDoneToChampions_8,trueDamageDoneToChampions_8,totalDamageDoneToChampions_8,goldPerSecond_8,jungleMinionsKilled_8,level_8,minionsKilled_8,timeEnemySpentControlled_8,totalGold_8,xp_8,currentGold_9,magicDamageDoneToChampions_9,physicalDamageDoneToChampions_9,trueDamageDoneToChampions_9,totalDamageDoneToChampions_9,goldPerSecond_9,jungleMinionsKilled_9,level_9,minionsKilled_9,timeEnemySpentControlled_9,totalGold_9,xp_9,currentGold_10,magicDamageDoneToChampions_10,physicalDamageDoneToChampions_10,trueDamageDoneToChampions_10,totalDamageDoneToChampions_10,goldPerSecond_10,jungleMinionsKilled_10,level_10,minionsKilled_10,timeEnemySpentControlled_10,totalGold_10,xp_10,timestamp,gameMode,gameType,gameVersion,assistsplayer_1,assistsplayer_3,baron_team100,baron_team200,deathsplayer_10,inhibs_lost_team100,killsplayer_0,riftherald_team200,inhibs_lost_team200,killsplayer_5,ward_player_0,team_deathsplayer_100,team_deathsplayer_200,team_goldPerSecond_100,team_goldPerSecond_200,team_jungleMinionsKilled_100,team_jungleMinionsKilled_200,team_killsplayer_100,team_killsplayer_200,team_level_100,team_level_200,team_magicDamageDoneToChampions_100,team_magicDamageDoneToChampions_200,team_minionsKilled_100,team_minionsKilled_200,team_physicalDamageDoneToChampions_100,team_physicalDamageDoneToChampions_200,team_timeEnemySpentControlled_100,team_timeEnemySpentControlled_200,team_totalDamageDoneToChampions_100,team_totalDamageDoneToChampions_200,team_totalGold_100,team_totalGold_200,team_trueDamageDoneToChampions_100,team_trueDamageDoneToChampions_200,team_ward_player_100,team_ward_player_200,team_assistsplayer_100,team_assistsplayer_200,team_xp_100,team_xp_200
5.0,1.0,2.0,2.0,3.0,5.0,9.0,3.0,1.0,4.0,4.0,6.0,4.0,3.0,5.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,7.0,5.0,2.0,9.0,1.0,3.0,1.0,1.0,200.0,3.0,2.0,9.0,26.0,20.0,8.0,16.0,49.0,10.0,16.0,3.0,2.0,93.0,0.0,9788.0,1446.0,11234.0,0.0,0.0,13.0,164.0,32908.0,8466.0,10075.0,449.0,265.0,3806.0,715.0,4786.0,0.0,116.0,11.0,10.0,174525.0,6874.0,7737.0,627.0,5296.0,426.0,408.0,6131.0,0.0,4.0,11.0,131.0,130689.0,6382.0,7833.0,933.0,445.0,4550.0,0.0,4996.0,0.0,0.0,11.0,169.0,49226.0,7433.0,7665.0,321.0,0.0,4275.0,0.0,4275.0,30.0,0.0,9.0,10.0,65677.0,4845.0,5191.0,1096.0,3339.0,1652.0,180.0,5172.0,0.0,11.0,12.0,139.0,192443.0,7171.0,9935.0,153.0,1214.0,8330.0,436.0,9980.0,0.0,98.0,12.0,35.0,439876.0,8243.0,9736.0,272.0,11641.0,2292.0,2184.0,16117.0,0.0,4.0,12.0,132.0,112457.0,8697.0,9829.0,93.0,0.0,3707.0,519.0,4227.0,0.0,24.0,11.0,141.0,6375.0,7643.0,8362.0,176.0,5672.0,625.0,138.0,6436.0,30.0,0.0,10.0,14.0,32181.0,5611.0,7173.0,1200345.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,10,30,30,120,137,10,21,55,57,6006,21866,484,461,22845,16606,453025,783332,31422,41932,34000,37365,2569,3457,60,99,7,24,38501,45035
1.0,6.0,7.0,1.0,0.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,5.0,0.0,5.0,3.0,5.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,5.0,5.0,1.0,0.0,0.0,200.0,19.0,7.0,23.0,54.0,62.0,13.0,10.0,16.0,17.0,44.0,7.0,4.0,283.0,5047.0,1702.0,0.0,6749.0,0.0,0.0,12.0,110.0,407392.0,6183.0,9457.0,691.0,9559.0,1479.0,875.0,11913.0,0.0,124.0,13.0,8.0,468176.0,8056.0,10108.0,225.0,597.0,5940.0,382.0,6920.0,0.0,6.0,12.0,138.0,92084.0,8275.0,9367.0,652.0,756.0,3140.0,32.0,3929.0,0.0,0.0,10.0,135.0,123911.0,6602.0,6223.0,59.0,2401.0,406.0,346.0,3154.0,30.0,0.0,9.0,38.0,32577.0,4634.0,5935.0,336.0,217.0,2549.0,1354.0,4121.0,0.0,0.0,11.0,126.0,74511.0,5686.0,8472.0,1312.0,7947.0,400.0,540.0,8888.0,0.0,97.0,11.0,20.0,190476.0,7327.0,7955.0,601.0,4512.0,146.0,229.0,4888.0,0.0,0.0,11.0,125.0,115338.0,6661.0,8413.0,1701.0,809.0,8731.0,46.0,9587.0,0.0,8.0,11.0,173.0,86143.0,8401.0,8231.0,783.0,3354.0,1120.0,0.0,4474.0,30.0,8.0,10.0,3.0,23063.0,5133.0,6653.0,1200285.0,CLASSIC,MATCHED_GAME,11.22.406.3587,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,11,15,30,30,130,113,15,10,56,54,18360,16839,429,447,12667,12946,1124140,489531,32665,31958,33750,33208,1635,2169,165,100,14,15,41090,39724
2.0,0.0,10.0,6.0,2.0,3.0,2.0,6.0,1.0,2.0,3.0,3.0,2.0,4.0,5.0,6.0,3.0,2.0,2.0,3.0,4.0,3.0,1.0,3.0,2.0,9.0,2.0,2.0,0.0,1.0,100.0,9.0,9.0,90.0,9.0,10.0,281.0,34.0,8.0,3.0,18.0,1.0,9.0,1079.0,3647.0,238.0,0.0,3885.0,30.0,0.0,10.0,3.0,24557.0,5694.0,7185.0,1311.0,0.0,3055.0,155.0,3210.0,0.0,12.0,12.0,128.0,48557.0,6611.0,9679.0,2104.0,1617.0,15259.0,865.0,17742.0,0.0,92.0,12.0,29.0,202896.0,9844.0,9491.0,1131.0,1616.0,6158.0,0.0,7775.0,0.0,0.0,12.0,153.0,0.0,8914.0,9117.0,218.0,4918.0,95.0,0.0,5014.0,0.0,8.0,13.0,145.0,46409.0,7508.0,10227.0,506.0,8092.0,541.0,306.0,8939.0,0.0,0.0,11.0,121.0,159471.0,6311.0,8238.0,201.0,1084.0,8105.0,0.0,9190.0,0.0,8.0,11.0,115.0,0.0,6826.0,8172.0,427.0,7563.0,1593.0,238.0,9395.0,0.0,0.0,12.0,137.0,21859.0,7572.0,9319.0,556.0,508.0,7903.0,812.0,9224.0,0.0,132.0,13.0,32.0,394831.0,9666.0,9980.0,224.0,1558.0,3273.0,543.0,5375.0,30.0,0.0,9.0,21.0,73407.0,5094.0,5515.0,1200364.0,CLASSIC,MATCHED_GAME,11.21.403.3002,12.0,6.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,2.0,0.0,14,20,30,30,112,140,20,14,59,56,11798,18805,458,426,24805,21415,322419,649568,37626,42123,38571,35469,1020,1899,127,344,27,18,45699,41224
3.0,9.0,5.0,3.0,3.0,4.0,7.0,1.0,0.0,5.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,2.0,6.0,3.0,2.0,6.0,2.0,2.0,0.0,1.0,100.0,8.0,3.0,9.0,15.0,18.0,10.0,5.0,4.0,14.0,25.0,2.0,5.0,531.0,0.0,10638.0,1820.0,12458.0,0.0,12.0,13.0,146.0,145612.0,8531.0,10121.0,63.0,830.0,11313.0,675.0,12819.0,0.0,108.0,12.0,10.0,245844.0,9063.0,9109.0,1281.0,8055.0,1839.0,0.0,9894.0,0.0,8.0,13.0,132.0,107501.0,8221.0,10108.0,757.0,2183.0,4808.0,0.0,6992.0,0.0,0.0,10.0,160.0,13146.0,8107.0,6705.0,577.0,6005.0,753.0,194.0,6953.0,30.0,0.0,9.0,17.0,138365.0,5732.0,5985.0,1441.0,430.0,11372.0,558.0,12361.0,0.0,22.0,13.0,153.0,269148.0,8841.0,10466.0,1425.0,7576.0,2174.0,432.0,10183.0,0.0,83.0,11.0,8.0,57271.0,7235.0,7846.0,46.0,9858.0,262.0,66.0,10186.0,0.0,0.0,13.0,115.0,81174.0,9935.0,9999.0,845.0,517.0,4144.0,0.0,4662.0,0.0,0.0,10.0,114.0,70555.0,5835.0,6203.0,171.0,2686.0,1228.0,534.0,4448.0,30.0,0.0,9.0,29.0,60808.0,4496.0,5917.0,1200346.0,CLASSIC,MATCHED_GAME,11.21.403.3002,1.0,4.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,15,21,30,30,128,105,21,15,57,56,17073,21067,465,419,29351,19180,650468,538956,49116,41840,39654,36342,2689,1590,53,58,20,19,42028,40431
5.0,3.0,2.0,7.0,5.0,5.0,2.0,5.0,4.0,6.0,2.0,3.0,6.0,4.0,6.0,4.0,1.0,4.0,10.0,3.0,9.0,3.0,9.0,7.0,8.0,4.0,1.0,3.0,0.0,1.0,200.0,12.0,44.0,5.0,33.0,20.0,7.0,3.0,14.0,11.0,14.0,7.0,1.0,370.0,4981.0,1650.0,158.0,6789.0,0.0,0.0,12.0,101.0,281493.0,7070.0,8820.0,92.0,3547.0,2013.0,546.0,6107.0,0.0,55.0,10.0,10.0,229034.0,6027.0,7284.0,66.0,2957.0,4870.0,64.0,7891.0,0.0,0.0,12.0,147.0,47929.0,6901.0,9239.0,117.0,1314.0,10002.0,318.0,11635.0,0.0,4.0,12.0,154.0,104833.0,10067.0,8659.0,258.0,4386.0,1462.0,80.0,5928.0,30.0,4.0,10.0,9.0,204107.0,6178.0,6185.0,763.0,522.0,14968.0,0.0,15491.0,0.0,13.0,12.0,138.0,184694.0,9153.0,9548.0,1043.0,736.0,6796.0,602.0,8134.0,0.0,123.0,12.0,27.0,371868.0,9393.0,9476.0,477.0,7496.0,856.0,0.0,8352.0,0.0,0.0,12.0,154.0,4887.0,8062.0,9121.0,2955.0,1940.0,11413.0,58.0,13411.0,0.0,16.0,12.0,141.0,35975.0,9450.0,9509.0,198.0,2770.0,2385.0,837.0,5992.0,30.0,0.0,9.0,20.0,68581.0,5398.0,5233.0,1200362.0,CLASSIC,MATCHED_GAME,11.21.403.3002,6.0,4.0,0.0,1.0,6.0,1.0,0.0,1.0,0.0,4.0,0.0,21,21,30,30,63,152,21,21,56,57,17185,13464,421,480,19997,36418,867396,666005,38350,51380,36243,41456,1166,1497,114,49,32,31,40187,42887
0.0,5.0,3.0,1.0,4.0,4.0,2.0,12.0,1.0,6.0,5.0,0.0,4.0,8.0,2.0,3.0,4.0,1.0,3.0,6.0,3.0,3.0,9.0,8.0,2.0,13.0,1.0,2.0,2.0,0.0,200.0,11.0,12.0,4.0,21.0,39.0,8.0,0.0,5.0,2.0,28.0,10.0,3.0,360.0,572.0,7216.0,182.0,7971.0,0.0,8.0,11.0,136.0,188864.0,7760.0,8472.0,1146.0,8178.0,612.0,0.0,8790.0,0.0,0.0,12.0,142.0,258450.0,9031.0,9503.0,634.0,530.0,5544.0,377.0,6452.0,0.0,118.0,11.0,16.0,372321.0,8134.0,7939.0,227.0,0.0,5567.0,222.0,5790.0,30.0,0.0,9.0,44.0,67579.0,5662.0,5113.0,617.0,230.0,6342.0,508.0,7081.0,0.0,0.0,8.0,53.0,49440.0,5467.0,4301.0,72.0,2883.0,5407.0,818.0,9110.0,0.0,8.0,13.0,147.0,142843.0,9572.0,11106.0,104.0,6570.0,853.0,399.0,7823.0,0.0,0.0,9.0,75.0,244295.0,6494.0,5097.0,1915.0,0.0,4948.0,326.0,5274.0,0.0,12.0,11.0,127.0,123952.0,8030.0,8218.0,1852.0,10581.0,2429.0,652.0,13662.0,0.0,97.0,11.0,19.0,293814.0,9527.0,8057.0,791.0,4074.0,501.0,0.0,4575.0,30.0,0.0,8.0,3.0,39177.0,5381.0,4786.0,1200271.0,CLASSIC,MATCHED_GAME,11.20.400.7328,3.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,23,11,30,30,126,117,11,23,51,52,9510,24108,391,371,25281,14138,936654,844081,36084,40444,36054,39004,1289,2195,87,43,18,35,35328,37264
3.0,5.0,0.0,5.0,3.0,4.0,5.0,1.0,3.0,4.0,1.0,6.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0,10.0,3.0,5.0,5.0,4.0,8.0,4.0,0.0,1.0,0.0,100.0,10.0,21.0,10.0,8.0,36.0,6.0,16.0,7.0,10.0,29.0,4.0,9.0,424.0,2161.0,9343.0,0.0,11505.0,0.0,4.0,12.0,107.0,277807.0,6349.0,8628.0,1138.0,1683.0,8632.0,305.0,10621.0,0.0,143.0,13.0,27.0,262361.0,10123.0,10518.0,1012.0,2166.0,6747.0,0.0,8914.0,0.0,4.0,12.0,163.0,40359.0,7077.0,8934.0,90.0,9318.0,1053.0,359.0,10731.0,0.0,0.0,10.0,129.0,129538.0,7940.0,7249.0,317.0,3072.0,770.0,103.0,3946.0,30.0,1.0,9.0,4.0,108511.0,5002.0,5670.0,296.0,0.0,6771.0,0.0,6771.0,0.0,8.0,13.0,157.0,89908.0,8421.0,10703.0,1120.0,1310.0,6908.0,206.0,8424.0,0.0,90.0,10.0,9.0,438613.0,6710.0,6815.0,1039.0,10685.0,1937.0,0.0,12623.0,0.0,0.0,12.0,129.0,217543.0,7309.0,8951.0,1527.0,1338.0,6686.0,485.0,8510.0,0.0,0.0,11.0,162.0,0.0,7122.0,7802.0,1113.0,3710.0,1484.0,400.0,5594.0,30.0,1.0,9.0,9.0,135923.0,6012.0,5345.0,1200324.0,CLASSIC,MATCHED_GAME,11.20.400.7328,5.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,16,13,30,30,152,99,13,16,56,55,18400,17043,430,466,26545,23786,818576,881987,45717,41922,36491,35574,767,1091,85,68,24,25,40999,39616
5.0,7.0,3.0,5.0,4.0,1.0,6.0,6.0,4.0,1.0,4.0,7.0,4.0,5.0,4.0,5.0,2.0,6.0,4.0,8.0,9.0,5.0,13.0,5.0,1.0,5.0,3.0,2.0,2.0,0.0,200.0,4.0,14.0,6.0,7.0,43.0,82.0,38.0,22.0,9.0,7.0,9.0,2.0,1429.0,8643.0,1125.0,2348.0,12116.0,0.0,5.0,12.0,119.0,428899.0,8729.0,9730.0,1331.0,1583.0,6276.0,245.0,8104.0,0.0,87.0,11.0,18.0,380374.0,9166.0,8271.0,554.0,658.0,6902.0,538.0,8098.0,0.0,0.0,10.0,104.0,41995.0,6504.0,7186.0,749.0,3721.0,6761.0,0.0,10483.0,0.0,0.0,10.0,108.0,0.0,7424.0,6954.0,1057.0,4888.0,590.0,306.0,5786.0,30.0,0.0,9.0,23.0,106387.0,5517.0,5960.0,146.0,8180.0,1915.0,699.0,10795.0,0.0,4.0,11.0,97.0,288620.0,6786.0,8081.0,342.0,3506.0,927.0,484.0,4917.0,30.0,0.0,9.0,12.0,48368.0,5127.0,5159.0,76.0,1557.0,15654.0,480.0,17691.0,0.0,17.0,13.0,166.0,173171.0,9631.0,10245.0,1031.0,351.0,11019.0,1068.0,12438.0,0.0,6.0,11.0,122.0,76214.0,8755.0,7620.0,400.0,7954.0,1137.0,538.0,9630.0,0.0,96.0,11.0,14.0,332543.0,7015.0,7433.0,1200349.0,CLASSIC,MATCHED_GAME,11.22.406.3587,6.0,5.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,21,22,30,30,92,123,22,21,52,55,19493,21548,372,411,21654,30652,957655,918916,44587,55471,37340,37314,3437,3269,74,158,32,29,38101,38538
1.0,5.0,4.0,6.0,4.0,6.0,8.0,3.0,0.0,7.0,3.0,6.0,2.0,3.0,3.0,1.0,4.0,4.0,3.0,1.0,10.0,3.0,2.0,0.0,4.0,10.0,1.0,3.0,0.0,0.0,200.0,4.0,0.0,7.0,8.0,19.0,7.0,4.0,13.0,4.0,31.0,11.0,1.0,355.0,6275.0,2510.0,0.0,8785.0,0.0,0.0,11.0,96.0,32766.0,4930.0,7401.0,483.0,7321.0,832.0,2522.0,10676.0,0.0,96.0,12.0,38.0,207150.0,8338.0,8758.0,351.0,624.0,5267.0,577.0,6469.0,0.0,4.0,11.0,120.0,52196.0,7041.0,8156.0,842.0,225.0,5982.0,2026.0,8234.0,0.0,4.0,11.0,120.0,15863.0,8092.0,8366.0,277.0,2233.0,1096.0,316.0,3646.0,30.0,0.0,9.0,22.0,40281.0,4742.0,5513.0,372.0,8490.0,1697.0,0.0,10187.0,0.0,0.0,13.0,146.0,285922.0,8222.0,9961.0,2497.0,0.0,7266.0,574.0,7840.0,0.0,118.0,12.0,27.0,288747.0,8062.0,9262.0,423.0,11767.0,344.0,972.0,13084.0,0.0,16.0,12.0,104.0,96239.0,9083.0,8886.0,848.0,360.0,9745.0,968.0,11074.0,0.0,1.0,11.0,145.0,24243.0,7823.0,8304.0,377.0,2866.0,358.0,216.0,3441.0,30.0,0.0,10.0,8.0,86087.0,5726.0,6569.0,1200379.0,CLASSIC,MATCHED_GAME,11.22.406.3587,1.0,3.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,21,16,30,30,104,135,16,21,54,58,16678,23483,396,430,15687,19410,348256,781238,37810,45626,33143,38916,5441,2730,38,59,18,19,38194,42982
5.0,4.0,4.0,9.0,5.0,7.0,6.0,0.0,2.0,2.0,4.0,2.0,5.0,7.0,7.0,5.0,4.0,7.0,2.0,4.0,9.0,1.0,5.0,4.0,5.0,8.0,4.0,1.0,2.0,0.0,200.0,7.0,12.0,12.0,10.0,18.0,14.0,1.0,11.0,11.0,31.0,5.0,10.0,1733.0,7278.0,2014.0,912.0,10205.0,0.0,4.0,12.0,120.0,390539.0,7533.0,9899.0,1204.0,2150.0,2784.0,782.0,5717.0,0.0,120.0,12.0,23.0,480389.0,8279.0,9090.0,562.0,0.0,7508.0,1509.0,9017.0,0.0,0.0,12.0,114.0,133543.0,8312.0,9863.0,876.0,11758.0,590.0,154.0,12503.0,0.0,16.0,11.0,105.0,283196.0,9051.0,7918.0,321.0,19586.0,1412.0,856.0,21854.0,30.0,0.0,11.0,50.0,325861.0,8981.0,7789.0,340.0,599.0,11445.0,5416.0,17461.0,0.0,11.0,11.0,100.0,109895.0,7790.0,8083.0,1465.0,920.0,12279.0,670.0,13869.0,0.0,64.0,11.0,17.0,110393.0,7515.0,8206.0,1337.0,11287.0,1438.0,505.0,13232.0,0.0,0.0,12.0,124.0,41167.0,8497.0,9413.0,263.0,441.0,6600.0,130.0,7172.0,0.0,0.0,10.0,125.0,29378.0,5763.0,7143.0,897.0,1708.0,544.0,166.0,2419.0,30.0,0.0,10.0,10.0,77426.0,5546.0,6495.0,1200354.0,CLASSIC,MATCHED_GAME,11.22.406.3587,1.0,6.0,0.0,2.0,6.0,1.0,0.0,0.0,2.0,7.0,0.0,20,29,30,30,140,75,29,20,58,54,40772,14955,412,376,14308,32306,1613528,368259,59296,54153,42156,35111,4213,6887,59,68,22,23,44559,39340
